,Descripcion,AutoservicioBajo,AutoservicioAlto,RuedasBajo,RuedasAlto,PublicoBajo,PublicoAlto,CedaBajo,CedaAlto
323,Chayote sin espina,16.90,24.90,16.00,20.00,20.00,25.00,20.00,25.00
324,Jitomate Saladette,42.50,52.00,18.00,25.00,30.00,40.00,12.00,18.00
325,Lechuga romana,20.50,26.90,15.00,20.00,15.00,15.00,10.00,17.00
326,Papa alpha,23.90,26.90,20.00,28.00,18.00,20.00,13.00,20.00
327,Pepino,21.50,24.90,16.00,20.00,18.00,18.00,10.00,18.00
328,Tomate verde,59.00,59.00,16.00,20.00,18.00,20.00,30.00,38.00
329,Zanahoria mediana,13.90,17.90,14.00,16.00,14.00,15.00,10.00,12.00
330,Aceite Mixto,28.00,36.90,0.00,0.00,30.00,32.00,32.00,40.00
331,Arroz largo,23.90,25.50,28.00,0.00,20.00,22.00,16.00,26.00
332,Azúcar Estándar,26.50,27.75,25.00,0.00,20.00,20.00,35.00,40.00
333,Harina de Trigo,9.50,11.40,0.00,0.00,16.00,18.00,12.00,16.00
334,Frijol Flor de Mayo,33.90,41.00,40.00,0.00,35.00,38.00,30.00,35.00
335,Frijol Negro,23.00,24.85,50.00,0.00,30.00,32.00,23.00,26.00
336,Huevo Blanco,36.00,42.00,0.00,0.00,30.00,32.00,33.00,35.00
337,Carne Molida Sirloin 90-10,102.00,197.00,0.00,0.00,150.00,165.00,130.00,148.00
338,Bistec Diezmillo de Res,184.00,204.00,0.00,0.00,160.00,170.00,130.00,150.00
339,Aguacate Hass,68.00,69.90,80.00,0.00,60.00,70.00,45.00,75.00
340,Limón con semilla,29.90,42.90,90.00,0.00,15.00,20.00,20.00,30.00
341,Guayaba,32.90,49.90,40.00,0.00,25.00,30.00,10.00,20.00
342,Manzana Golden,49.90,65.00,50.00,0.00,30.00,35.00,40.00,50.00
343,Manzana Starking,39.90,59.90,50.00,0.00,35.00,40.00,40.00,45.00
344,Naranja mediana,17.00,25.90,20.00,0.00,15.00,15.00,6.00,10.00
345,Papaya maradol,33.90,38.90,25.00,0.00,20.00,25.00,16.00,18.00
346,Piña,28.50,28.90,40.00,0.00,30.00,30.00,15.00,20.00
347,Plátano,16.50,22.70,25.00,0.00,18.00,20.00,10.00,15.00
348,Sandía,15.50,15.90,15.00,0.00,15.00,15.00,5.00,10.00
349,Calabacita Italiana,28.50,29.90,26.00,0.00,15.00,26.00,12.00,20.00
350,Chile poblano,39.90,54.00,45.00,0.00,25.00,30.00,36.00,40.00
351,Chile serrano,69.90,80.00,25.00,0.00,40.00,45.00,7.00,25.00
352,Cebolla bola,36.90,36.90,20.00,0.00,15.00,18.00,35.00,45.00
353,Chayote sin espina,16.90,24.90,14.00,0.00,20.00,25.00,20.00,25.00
354,Jitomate Saladette,42.50,52.00,20.00,0.00,30.00,40.00,12.00,18.00
355,Lechuga romana,20.50,26.90,20.00,0.00,15.00,15.00,10.00,17.00
356,Papa alpha,23.90,26.90,30.00,0.00,18.00,20.00,13.00,20.00
357,Pepino,21.50,24.90,16.00,0.00,18.00,18.00,10.00,18.00
358,Tomate verde,59.00,59.00,16.00,0.00,18.00,20.00,30.00,38.00
359,Zanahoria mediana,13.90,17.90,14.00,0.00,14.00,15.00,10.00,12.00
360,Aceite Mixto,28.00,36.90,38.00,42.00,30.00,32.00,32.00,40.00
361,Arroz largo,23.90,25.50,25.00,35.00,20.00,22.00,16.00,26.00
362,Azúcar Estándar,26.50,27.75,22.00,30.00,20.00,20.00,35.00,40.00
363,Harina de Trigo,9.50,11.40,14.00,20.00,16.00,18.00,12.00,16.00
364,Frijol Flor de Mayo,33.90,41.00,40.00,60.00,35.00,38.00,30.00,35.00
365,Frijol Negro,23.00,24.85,40.00,55.00,30.00,32.00,23.00,26.00
366,Huevo Blanco,36.00,42.00,30.00,35.00,30.00,32.00,33.00,35.00
367,Carne Molida Sirloin 90-10,102.00,197.00,160.00,186.00,150.00,165.00,130.00,148.00
368,Bistec Diezmillo de Res,184.00,204.00,160.00,186.00,160.00,170.00,130.00,150.00
369,Aguacate Hass,68.00,69.90,50.00,70.00,60.00,70.00,45.00,75.00
370,Limón con semilla,29.90,42.90,45.00,50.00,45.00,60.00,20.00,30.00
371,Guayaba,32.90,49.90,25.00,30.00,25.00,30.00,10.00,20.00
372,Manzana Golden,49.90,65.00,35.00,50.00,30.00,35.00,40.00,50.00
373,Manzana Starking,39.90,59.90,30.00,50.00,35.00,40.00,40.00,45.00
374,Naranja mediana,17.00,25.90,10.00,15.00,15.00,15.00,6.00,10.00
375,Papaya maradol,33.90,38.90,25.00,30.00,20.00,25.00,16.00,18.00
376,Piña,28.50,28.90,20.00,50.00,30.00,30.00,15.00,20.00
377,Plátano,16.50,22.70,15.00,25.00,18.00,20.00,10.00,15.00
378,Sandía,15.50,15.90,20.00,20.00,15.00,15.00,5.00,10.00
379,Calabacita Italiana,28.50,29.90,20.00,24.00,15.00,26.00,12.00,20.00
380,Chile poblano,39.90,54.00,30.00,40.00,25.00,30.00,36.00,40.00
381,Chile serrano,69.90,80.00,40.00,60.00,40.00,45.00,7.00,25.00
382,Cebolla bola,36.90,36.90,20.00,20.00,15.00,18.00,35.00,45.00
383,Chayote sin espina,16.90,24.90,16.00,20.00,20.00,25.00,20.00,25.00
384,Jitomate Saladette,42.50,52.00,25.00,35.00,30.00,40.00,12.00,18.00
385,Lechuga romana,20.50,26.90,15.00,20.00,15.00,15.00,10.00,17.00
386,Papa alpha,23.90,26.90,18.00,20.00,18.00,20.00,13.00,20.00
387,Pepino,21.50,24.90,16.00,20.00,18.00,18.00,10.00,18.00
388,Tomate verde,59.00,59.00,20.00,30.00,18.00,20.00,30.00,38.00
389,Zanahoria mediana,13.90,17.90,14.00,16.00,14.00,15.00,10.00,12.00
390,Aceite Mixto,28.00,36.90,0.00,38.00,30.00,32.00,32.00,40.00
391,Arroz largo,23.90,25.50,25.00,35.00,20.00,22.00,16.00,26.00
392,Azúcar Estándar,26.50,27.75,22.00,30.00,20.00,20.00,35.00,40.00
393,Harina de Trigo,9.50,11.40,0.00,20.00,16.00,18.00,12.00,16.00
394,Frijol Flor de Mayo,33.90,41.00,40.00,60.00,35.00,38.00,30.00,35.00
395,Frijol Negro,23.00,24.85,40.00,55.00,30.00,32.00,23.00,26.00
396,Huevo Blanco,36.00,42.00,30.00,35.00,30.00,32.00,33.00,35.00
397,Carne Molida Sirloin 90-10,102.00,197.00,0.00,160.00,150.00,165.00,140.00,148.00
398,Bistec Diezmillo de Res,184.00,204.00,0.00,170.00,160.00,170.00,140.00,150.00
399,Aguacate Hass,68.00,69.90,50.00,70.00,60.00,70.00,45.00,75.00
400,Limón con semilla,49.90,62.90,45.00,50.00,45.00,60.00,40.00,60.00
401,Guayaba,32.90,49.90,25.00,30.00,25.00,30.00,10.00,20.00
402,Manzana Golden,49.90,65.00,35.00,50.00,30.00,35.00,40.00,50.00
403,Manzana Starking,39.90,59.90,30.00,50.00,35.00,40.00,40.00,45.00
404,Naranja mediana,17.00,25.90,10.00,15.00,15.00,15.00,6.00,10.00
405,Papaya maradol,33.90,38.90,25.00,30.00,20.00,25.00,16.00,18.00
406,Piña,28.50,28.90,20.00,50.00,30.00,30.00,15.00,20.00
407,Plátano,16.50,22.70,15.00,25.00,18.00,20.00,10.00,15.00
408,Sandía,15.50,15.90,20.00,20.00,15.00,15.00,5.00,10.00
409,Calabacita Italiana,28.50,29.90,20.00,24.00,15.00,26.00,12.00,20.00
410,Chile poblano,39.90,54.00,30.00,40.00,25.00,30.00,36.00,40.00
411,Chile serrano,69.90,80.00,40.00,60.00,40.00,45.00,7.00,25.00
412,Cebolla bola,36.90,36.90,20.00,20.00,15.00,18.00,35.00,45.00
413,Chayote sin espina,16.90,24.90,16.00,20.00,20.00,25.00,20.00,25.00
414,Jitomate Saladette,42.50,52.00,25.00,35.00,30.00,40.00,12.00,18.00
415,Lechuga romana,20.50,26.90,15.00,20.00,15.00,15.00,10.00,17.00
416,Papa alpha,23.90,26.90,18.00,20.00,18.00,20.00,13.00,20.00
417,Pepino,21.50,24.90,16.00,20.00,18.00,18.00,10.00,18.00
418,Tomate verde,59.00,59.00,20.00,30.00,18.00,20.00,30.00,38.00
419,Zanahoria mediana,13.90,17.90,14.00,16.00,14.00,15.00,10.00,12.00
420,Aceite Mixto,28.00,36.90,0.00,48.00,30.00,32.00,0.00,0.00
421,Arroz largo,23.90,25.50,25.00,35.00,20.00,22.00,0.00,0.00
422,Azúcar Estándar,26.50,27.75,22.00,30.00,20.00,20.00,0.00,0.00
423,Harina de Trigo,9.50,11.40,0.00,20.00,16.00,18.00,0.00,0.00
424,Frijol Flor de Mayo,33.90,41.00,40.00,60.00,35.00,38.00,0.00,0.00
425,Frijol Negro,23.00,24.85,40.00,55.00,30.00,32.00,0.00,0.00
426,Huevo Blanco,36.00,42.00,30.00,35.00,30.00,32.00,0.00,0.00
427,Carne Molida Sirloin 90-10,102.00,197.00,0.00,189.00,150.00,165.00,0.00,0.00
428,Bistec Diezmillo de Res,184.00,204.00,0.00,198.00,160.00,170.00,0.00,0.00
429,Aguacate Hass,68.00,69.90,50.00,70.00,60.00,70.00,0.00,0.00
430,Limón con semilla,49.90,62.90,45.00,50.00,45.00,60.00,0.00,0.00
431,Guayaba,32.90,49.90,25.00,30.00,25.00,30.00,0.00,0.00
432,Manzana Golden,49.90,65.00,35.00,50.00,30.00,35.00,0.00,0.00
433,Manzana Starking,39.90,59.90,30.00,50.00,35.00,40.00,0.00,0.00
434,Naranja mediana,17.00,25.90,10.00,15.00,15.00,15.00,0.00,0.00
435,Papaya maradol,33.90,38.90,25.00,30.00,20.00,25.00,0.00,0.00
436,Piña,28.50,28.90,20.00,50.00,30.00,30.00,0.00,0.00
437,Plátano,16.50,22.70,15.00,25.00,18.00,20.00,0.00,0.00
438,Sandía,15.50,15.90,20.00,20.00,15.00,15.00,0.00,0.00
439,Calabacita Italiana,28.50,29.90,20.00,24.00,15.00,26.00,0.00,0.00
440,Chile poblano,39.90,54.00,30.00,40.00,25.00,30.00,0.00,0.00
441,Chile serrano,69.90,80.00,40.00,60.00,40.00,45.00,0.00,0.00
442,Cebolla bola,36.90,36.90,20.00,20.00,15.00,18.00,0.00,0.00
443,Chayote sin espina,16.90,24.90,16.00,20.00,20.00,25.00,0.00,0.00
444,Jitomate Saladette,42.50,52.00,25.00,35.00,30.00,40.00,0.00,0.00
445,Lechuga romana,20.50,26.90,15.00,20.00,15.00,15.00,0.00,0.00
446,Papa alpha,23.90,26.90,18.00,20.00,18.00,20.00,0.00,0.00
447,Pepino,21.50,24.90,16.00,20.00,18.00,18.00,0.00,0.00
448,Tomate verde,59.00,59.00,20.00,30.00,18.00,20.00,0.00,0.00
449,Zanahoria mediana,13.90,17.90,14.00,16.00,14.00,15.00,0.00,0.00
450,Aceite Mixto,28.00,36.90,0.00,48.00,30.00,32.00,0.00,0.00
451,Arroz largo,23.90,25.50,25.00,35.00,20.00,22.00,0.00,0.00
452,Azúcar Estándar,26.50,27.75,22.00,30.00,20.00,20.00,0.00,0.00
453,Harina de Trigo,9.50,11.40,0.00,20.00,16.00,18.00,0.00,0.00
454,Frijol Flor de Mayo,33.90,41.00,40.00,60.00,35.00,38.00,0.00,0.00
455,Frijol Negro,23.00,24.85,40.00,55.00,30.00,32.00,0.00,0.00
456,Huevo Blanco,36.00,42.00,30.00,35.00,30.00,32.00,0.00,0.00
457,Carne Molida Sirloin 90-10,102.00,197.00,0.00,189.00,150.00,165.00,0.00,0.00
458,Bistec Diezmillo de Res,184.00,204.00,0.00,198.00,160.00,170.00,0.00,0.00
459,Aguacate Hass,68.00,69.90,50.00,70.00,60.00,70.00,0.00,0.00
460,Limón con semilla,49.90,62.90,45.00,50.00,45.00,60.00,0.00,0.00
461,Guayaba,32.90,49.90,25.00,30.00,25.00,30.00,0.00,0.00
462,Manzana Golden,49.90,65.00,35.00,50.00,30.00,35.00,0.00,0.00
463,Manzana Starking,39.90,59.90,30.00,50.00,35.00,40.00,0.00,0.00
464,Naranja mediana,17.00,25.90,10.00,15.00,15.00,15.00,0.00,0.00
465,Papaya maradol,33.90,38.90,25.00,30.00,20.00,25.00,0.00,0.00
466,Piña,28.50,28.90,20.00,50.00,30.00,30.00,0.00,0.00
467,Plátano,16.50,22.70,15.00,25.00,18.00,20.00,0.00,0.00
468,Sandía,15.50,15.90,20.00,20.00,15.00,15.00,0.00,0.00
469,Calabacita Italiana,28.50,29.90,20.00,24.00,15.00,26.00,0.00,0.00
470,Chile poblano,39.90,54.00,30.00,40.00,25.00,30.00,0.00,0.00
471,Chile serrano,69.90,80.00,40.00,60.00,40.00,45.00,0.00,0.00
472,Cebolla bola,36.90,36.90,20.00,20.00,15.00,18.00,0.00,0.00
473,Chayote sin espina,16.90,24.90,16.00,20.00,20.00,25.00,0.00,0.00
474,Jitomate Saladette,42.50,52.00,25.00,35.00,30.00,40.00,0.00,0.00
475,Lechuga romana,20.50,26.90,15.00,20.00,15.00,15.00,0.00,0.00
476,Papa alpha,23.90,26.90,18.00,20.00,18.00,20.00,0.00,0.00
477,Pepino,21.50,24.90,16.00,20.00,18.00,18.00,0.00,0.00
478,Tomate verde,59.00,59.00,20.00,30.00,18.00,20.00,0.00,0.00
479,Zanahoria mediana,13.90,17.90,14.00,16.00,14.00,15.00,0.00,0.00
480,Aceite Mixto,28.00,36.90,48.00,0.00,30.00,35.00,30.00,44.00
481,Arroz largo,23.90,25.50,36.00,0.00,18.00,20.00,16.00,26.00
482,Azúcar Estándar,26.50,27.75,24.00,0.00,20.00,22.00,35.00,40.00
483,Harina de Trigo,9.50,11.40,20.00,0.00,15.00,18.00,12.00,16.00
484,Frijol Flor de Mayo,33.90,41.00,65.00,0.00,40.00,45.00,30.00,35.00
485,Frijol Negro,23.00,24.85,55.00,0.00,30.00,35.00,23.00,26.00
486,Huevo Blanco,36.00,42.00,30.00,0.00,32.00,35.00,33.00,35.00
487,Carne Molida Sirloin 90-10,102.00,197.00,189.00,0.00,160.00,170.00,130.00,148.00
488,Bistec Diezmillo de Res,184.00,204.00,198.00,0.00,175.00,180.00,130.00,150.00
489,Aguacate Hass,68.00,69.90,80.00,0.00,60.00,70.00,45.00,75.00
490,Limón con semilla,49.90,62.90,70.00,0.00,30.00,50.00,20.00,30.00
491,Guayaba,32.90,49.90,36.00,0.00,25.00,30.00,10.00,20.00
492,Manzana Golden,49.90,65.00,50.00,0.00,35.00,35.00,40.00,50.00
493,Manzana Starking,39.90,59.90,50.00,0.00,40.00,40.00,40.00,45.00
494,Naranja mediana,17.00,25.90,20.00,0.00,16.00,16.00,6.00,10.00
495,Papaya maradol,33.90,38.90,30.00,0.00,20.00,24.00,16.00,18.00
496,Piña,28.50,28.90,40.00,0.00,30.00,35.00,15.00,20.00
497,Plátano,16.50,22.70,30.00,0.00,18.00,20.00,10.00,15.00
498,Sandía,15.50,15.90,20.00,0.00,15.00,15.00,5.00,10.00
499,Calabacita Italiana,28.50,29.90,20.00,0.00,16.00,20.00,12.00,20.00
500,Chile poblano,39.90,54.00,50.00,0.00,25.00,40.00,36.00,40.00
501,Chile serrano,69.90,80.00,60.00,0.00,40.00,45.00,7.00,25.00
502,Cebolla bola,36.90,36.90,30.00,0.00,16.00,18.00,35.00,45.00
503,Chayote sin espina,16.90,24.90,20.00,0.00,15.00,25.00,20.00,25.00
504,Jitomate Saladette,42.50,52.00,30.00,0.00,30.00,40.00,12.00,18.00
505,Lechuga romana,20.50,26.90,20.00,0.00,15.00,15.00,10.00,17.00
506,Papa alpha,23.90,26.90,25.00,0.00,14.00,18.00,13.00,20.00
507,Pepino,21.50,24.90,20.00,0.00,15.00,18.00,10.00,18.00
508,Tomate verde,59.00,59.00,25.00,0.00,20.00,40.00,30.00,38.00
509,Zanahoria mediana,13.90,17.90,16.00,0.00,14.00,16.00,10.00,12.00
510,Aceite Mixto,28.00,36.90,48.00,0.00,30.00,35.00,30.00,44.00
511,Arroz largo,23.90,25.50,30.00,36.00,18.00,20.00,16.00,26.00
512,Azúcar Estándar,26.50,27.75,22.00,24.00,20.00,22.00,35.00,40.00
513,Harina de Trigo,9.50,11.40,15.00,20.00,15.00,18.00,12.00,16.00
514,Frijol Flor de Mayo,33.90,41.00,45.00,60.00,40.00,45.00,30.00,35.00
515,Frijol Negro,23.00,24.85,40.00,55.00,30.00,35.00,23.00,26.00
516,Huevo Blanco,36.00,42.00,34.00,36.00,32.00,35.00,33.00,35.00
517,Carne Molida Sirloin 90-10,102.00,197.00,188.00,189.00,160.00,170.00,130.00,148.00
518,Bistec Diezmillo de Res,184.00,204.00,188.00,189.00,175.00,180.00,130.00,150.00
519,Aguacate Hass,68.00,69.90,70.00,80.00,60.00,70.00,45.00,75.00
520,Limón con semilla,49.90,62.90,60.00,70.00,30.00,50.00,20.00,30.00
521,Guayaba,32.90,49.90,25.00,30.00,25.00,30.00,10.00,20.00
522,Manzana Golden,49.90,65.00,50.00,50.00,35.00,35.00,40.00,50.00
523,Manzana Starking,39.90,59.90,50.00,50.00,40.00,40.00,40.00,45.00
524,Naranja mediana,17.00,25.90,10.00,15.00,16.00,16.00,6.00,10.00
525,Papaya maradol,33.90,38.90,25.00,30.00,20.00,24.00,16.00,18.00
526,Piña,28.50,28.90,40.00,50.00,30.00,35.00,15.00,20.00
527,Plátano,16.50,22.70,20.00,35.00,18.00,20.00,10.00,15.00
528,Sandía,15.50,15.90,20.00,20.00,15.00,15.00,5.00,10.00
529,Calabacita Italiana,28.50,29.90,20.00,24.00,16.00,20.00,12.00,20.00
530,Chile poblano,39.90,54.00,30.00,50.00,25.00,40.00,36.00,40.00
531,Chile serrano,69.90,80.00,30.00,60.00,40.00,45.00,7.00,25.00
532,Cebolla bola,36.90,36.90,22.00,30.00,16.00,18.00,35.00,45.00
533,Chayote sin espina,16.90,24.90,24.00,24.00,15.00,25.00,20.00,25.00
534,Jitomate Saladette,42.50,52.00,15.00,20.00,30.00,40.00,12.00,18.00
535,Lechuga romana,20.50,26.90,20.00,20.00,15.00,15.00,10.00,17.00
536,Papa alpha,23.90,26.90,24.00,25.00,14.00,18.00,13.00,20.00
537,Pepino,21.50,24.90,20.00,20.00,15.00,18.00,10.00,18.00
538,Tomate verde,59.00,59.00,14.00,16.00,20.00,40.00,30.00,38.00
539,Zanahoria mediana,13.90,17.90,14.00,14.00,14.00,16.00,10.00,12.00
540,Aceite Mixto,28.00,36.90,48.00,0.00,30.00,35.00,30.00,44.00
541,Arroz largo,23.90,25.50,30.00,36.00,18.00,20.00,16.00,26.00
542,Azúcar Estándar,26.50,27.75,22.00,24.00,20.00,22.00,35.00,40.00
543,Harina de Trigo,9.50,11.40,15.00,20.00,15.00,18.00,12.00,16.00
544,Frijol Flor de Mayo,33.90,41.00,45.00,60.00,40.00,45.00,30.00,35.00
545,Frijol Negro,23.00,24.85,40.00,55.00,30.00,35.00,23.00,26.00
546,Huevo Blanco,36.00,42.00,34.00,36.00,32.00,35.00,33.00,35.00
547,Carne Molida Sirloin 90-10,102.00,197.00,188.00,189.00,160.00,170.00,130.00,148.00
548,Bistec Diezmillo de Res,184.00,204.00,188.00,189.00,175.00,180.00,130.00,150.00
549,Aguacate Hass,68.00,69.90,70.00,80.00,60.00,70.00,45.00,75.00
550,Limón con semilla,49.90,62.90,60.00,70.00,30.00,50.00,20.00,30.00
551,Guayaba,32.90,49.90,25.00,30.00,25.00,30.00,10.00,20.00
552,Manzana Golden,49.90,65.00,50.00,50.00,35.00,35.00,40.00,50.00
553,Manzana Starking,39.90,59.90,50.00,50.00,40.00,40.00,40.00,45.00
554,Naranja mediana,17.00,25.90,10.00,15.00,16.00,16.00,6.00,10.00
555,Papaya maradol,33.90,38.90,25.00,30.00,20.00,24.00,16.00,18.00
556,Piña,28.50,28.90,40.00,50.00,30.00,35.00,15.00,20.00
557,Plátano,16.50,22.70,20.00,35.00,18.00,20.00,10.00,15.00
558,Sandía,15.50,15.90,20.00,20.00,15.00,15.00,5.00,10.00
559,Calabacita Italiana,28.50,29.90,20.00,24.00,16.00,20.00,12.00,20.00
560,Chile poblano,39.90,54.00,30.00,50.00,25.00,40.00,36.00,40.00
561,Chile serrano,69.90,80.00,30.00,60.00,40.00,45.00,7.00,25.00
562,Cebolla bola,36.90,36.90,22.00,30.00,16.00,18.00,35.00,45.00
563,Chayote sin espina,16.90,24.90,24.00,24.00,15.00,25.00,20.00,25.00
564,Jitomate Saladette,42.50,52.00,15.00,20.00,30.00,40.00,12.00,18.00
565,Lechuga romana,20.50,26.90,20.00,20.00,15.00,15.00,10.00,17.00
566,Papa alpha,23.90,26.90,24.00,25.00,14.00,18.00,13.00,20.00
567,Pepino,21.50,24.90,20.00,20.00,15.00,18.00,10.00,18.00
568,Tomate verde,59.00,59.00,14.00,16.00,20.00,40.00,30.00,38.00
569,Zanahoria mediana,13.90,17.90,14.00,14.00,14.00,16.00,10.00,12.00
570,Aceite Mixto,28.00,36.90,48.00,0.00,30.00,35.00,30.00,44.00
571,Arroz largo,23.90,25.50,30.00,36.00,18.00,20.00,16.00,26.00
572,Azúcar Estándar,26.50,27.75,22.00,24.00,20.00,22.00,35.00,40.00
573,Harina de Trigo,9.50,11.40,15.00,20.00,15.00,18.00,12.00,16.00
574,Frijol Flor de Mayo,33.90,41.00,45.00,60.00,40.00,45.00,30.00,35.00
575,Frijol Negro,23.00,24.85,40.00,55.00,30.00,35.00,23.00,26.00
576,Huevo Blanco,36.00,42.00,34.00,36.00,32.00,35.00,33.00,35.00
577,Carne Molida Sirloin 90-10,102.00,197.00,188.00,189.00,160.00,170.00,130.00,148.00
578,Bistec Diezmillo de Res,184.00,204.00,188.00,189.00,175.00,180.00,130.00,150.00
579,Aguacate Hass,68.00,69.90,70.00,80.00,60.00,70.00,45.00,75.00
580,Limón con semilla,49.90,62.90,60.00,70.00,30.00,50.00,20.00,30.00
581,Guayaba,32.90,49.90,25.00,30.00,25.00,30.00,10.00,20.00
582,Manzana Golden,49.90,65.00,50.00,50.00,35.00,35.00,40.00,50.00
583,Manzana Starking,39.90,59.90,50.00,50.00,40.00,40.00,40.00,45.00
584,Naranja mediana,17.00,25.90,10.00,15.00,16.00,16.00,6.00,10.00
585,Papaya maradol,33.90,38.90,25.00,30.00,20.00,24.00,16.00,18.00
586,Piña,28.50,28.90,40.00,50.00,30.00,35.00,15.00,20.00
587,Plátano,16.50,22.70,20.00,35.00,18.00,20.00,10.00,15.00
588,Sandía,15.50,15.90,20.00,20.00,15.00,15.00,5.00,10.00
589,Calabacita Italiana,28.50,29.90,20.00,24.00,16.00,20.00,12.00,20.00
590,Chile poblano,39.90,54.00,30.00,50.00,25.00,40.00,36.00,40.00
591,Chile serrano,69.90,80.00,30.00,60.00,40.00,45.00,7.00,25.00
592,Cebolla bola,36.90,36.90,22.00,30.00,16.00,18.00,35.00,45.00
593,Chayote sin espina,16.90,24.90,24.00,24.00,15.00,25.00,20.00,25.00
594,Jitomate Saladette,42.50,52.00,15.00,20.00,30.00,40.00,12.00,18.00
595,Lechuga romana,20.50,26.90,20.00,20.00,15.00,15.00,10.00,17.00
596,Papa alpha,23.90,26.90,24.00,25.00,14.00,18.00,13.00,20.00
597,Pepino,21.50,24.90,20.00,20.00,15.00,18.00,10.00,18.00
598,Tomate verde,59.00,59.00,14.00,16.00,20.00,40.00,30.00,38.00
599,Zanahoria mediana,13.90,17.90,14.00,14.00,14.00,16.00,10.00,12.00
600,Aceite Mixto,28.00,36.90,38.00,0.00,30.00,35.00,30.00,44.00
601,Arroz largo,23.90,25.50,24.00,38.00,18.00,22.00,16.00,26.00
602,Azúcar Estándar,26.50,27.75,19.00,22.00,20.00,20.00,35.00,40.00
603,Harina de Trigo,9.50,11.40,15.00,19.00,15.00,18.00,12.00,16.00
604,Frijol Flor de Mayo,33.90,41.00,42.00,45.00,35.00,40.00,30.00,35.00
605,Frijol Negro,23.00,24.85,32.00,42.00,30.00,40.00,23.00,26.00
606,Huevo Blanco,36.00,42.00,30.00,32.00,30.00,36.00,33.00,35.00
607,Carne Molida Sirloin 90-10,102.00,197.00,160.00,178.00,150.00,170.00,130.00,148.00
608,Bistec Diezmillo de Res,184.00,204.00,170.00,178.00,170.00,180.00,130.00,150.00
609,Aguacate Hass,68.00,69.90,60.00,80.00,60.00,70.00,45.00,75.00
610,Limón con semilla,49.90,62.90,50.00,90.00,42.00,55.00,20.00,30.00
611,Guayaba,32.90,49.90,25.00,25.00,25.00,30.00,10.00,20.00
612,Manzana Golden,49.90,65.00,40.00,65.00,23.00,35.00,40.00,50.00
613,Manzana Starking,39.90,59.90,50.00,60.00,35.00,40.00,40.00,45.00
614,Naranja mediana,17.00,25.90,10.00,10.00,15.00,16.00,6.00,10.00
615,Papaya maradol,33.90,38.90,20.00,25.00,20.00,25.00,16.00,18.00
616,Piña,28.50,28.90,30.00,40.00,30.00,35.00,15.00,20.00
617,Plátano,16.50,22.70,20.00,22.00,18.00,20.00,10.00,15.00
618,Sandía,15.50,15.90,15.00,20.00,15.00,15.00,5.00,10.00
619,Calabacita Italiana,28.50,29.90,20.00,22.00,15.00,20.00,12.00,20.00
620,Chile poblano,39.90,54.00,18.00,40.00,25.00,30.00,36.00,40.00
621,Chile serrano,69.90,80.00,28.00,50.00,40.00,45.00,7.00,25.00
622,Cebolla bola,36.90,36.90,20.00,24.00,15.00,18.00,35.00,45.00
623,Chayote sin espina,16.90,24.90,10.00,26.00,20.00,25.00,20.00,25.00
624,Jitomate Saladette,42.50,52.00,15.00,18.00,35.00,40.00,12.00,18.00
625,Lechuga romana,20.50,26.90,15.00,20.00,15.00,15.00,10.00,17.00
626,Papa alpha,23.90,26.90,20.00,22.00,18.00,20.00,13.00,20.00
627,Pepino,21.50,24.90,15.00,20.00,18.00,18.00,10.00,18.00
628,Tomate verde,59.00,59.00,12.00,22.00,20.00,30.00,30.00,38.00
629,Zanahoria mediana,13.90,17.90,10.00,14.00,14.00,15.00,10.00,12.00
630,Aceite Mixto,28.00,36.90,38.00,0.00,30.00,35.00,0.00,0.00
631,Arroz largo,23.90,25.50,24.00,38.00,18.00,22.00,0.00,0.00
632,Azúcar Estándar,26.50,27.75,19.00,22.00,20.00,20.00,0.00,0.00
633,Harina de Trigo,9.50,11.40,15.00,19.00,15.00,18.00,0.00,0.00
634,Frijol Flor de Mayo,33.90,41.00,42.00,45.00,35.00,40.00,0.00,0.00
635,Frijol Negro,23.00,24.85,32.00,42.00,30.00,40.00,0.00,0.00
636,Huevo Blanco,36.00,42.00,30.00,32.00,30.00,36.00,0.00,0.00
637,Carne Molida Sirloin 90-10,102.00,197.00,160.00,178.00,150.00,170.00,0.00,0.00
638,Bistec Diezmillo de Res,184.00,204.00,170.00,178.00,170.00,180.00,0.00,0.00
639,Aguacate Hass,68.00,69.90,60.00,80.00,60.00,70.00,0.00,0.00
640,Limón con semilla,49.90,62.90,50.00,90.00,42.00,55.00,0.00,0.00
641,Guayaba,32.90,49.90,25.00,25.00,25.00,30.00,0.00,0.00
642,Manzana Golden,49.90,65.00,40.00,65.00,23.00,35.00,0.00,0.00
643,Manzana Starking,39.90,59.90,50.00,60.00,35.00,40.00,0.00,0.00
644,Naranja mediana,17.00,25.90,10.00,10.00,15.00,16.00,0.00,0.00
645,Papaya maradol,33.90,38.90,20.00,25.00,20.00,25.00,0.00,0.00
646,Piña,28.50,28.90,30.00,40.00,30.00,35.00,0.00,0.00
647,Plátano,16.50,22.70,20.00,22.00,18.00,20.00,0.00,0.00
648,Sandía,15.50,15.90,15.00,20.00,15.00,15.00,0.00,0.00
649,Calabacita Italiana,28.50,29.90,20.00,22.00,15.00,20.00,0.00,0.00
650,Chile poblano,39.90,54.00,18.00,40.00,25.00,30.00,0.00,0.00
